GEOID,total_population,median_household_income,poverty_rate_pct,pct_no_vehicle
1001,58761,68315.0,11.282993822433246,3.9806347498655192
1003,233420,71039.0,10.044126467312141,2.2642673068875134
1005,24877,39712.0,21.224424166901155,11.73469387755102
1007,22251,50669.0,19.311491618354232,7.5388026607538805
1009,59077,57440.0,14.010528632124178,4.841394617589938
1011,10328,36136.0,26.016653756777693,10.405797101449275
1013,18981,44429.0,20.741794426004954,5.034357032674239
1015,116162,54339.0,17.447185826690312,5.571342268364173
1017,34612,48805.0,17.56616202473131,6.969489462071064
1019,25069,46621.0,14.02529019905062,3.2409722916875063
1021,45140,62471.0,14.226849800620291,3.2839170751875257
1023,12669,43299.0,18.84915936538006,5.680948737566947
1025,23058,47549.0,22.00104085349987,10.613092330239375
1027,14209,48074.0,17.172214793440777,6.3628076572470365
1029,15144,51553.0,12.750924458531433,6.7522999479257075
1031,53559,62199.0,16.04212177225116,3.963070274517507
1033,57270,56149.0,15.71154181945172,4.680649875354595
1035,11576,39888.0,18.33102971665515,7.006512463507747
1037,10329,52279.0,10.668990221705876,3.7759439859964994
1039,37542,48772.0,18.43535240530606,6.354797801888122
1041,13205,48557.0,14.5096554335479,7.31556106633602
1043,88284,58119.0,12.872094603778713,2.9421379535796013
1045,49455,52813.0,17.124658780709737,5.22680412371134
1047,38326,37180.0,26.692062829410844,14.593641971124516
1049,71680,47920.0,19.881417410714285,4.172829894900739
1051,87694,73258.0,9.106666362578968,4.303380561769823
1053,36755,41153.0,20.26663039042307,6.135770234986945
1055,103348,52177.0,15.622943840229128,4.235518548116831
1057,16297,45650.0,21.740197582377125,10.695100113950838
1059,32011,47359.0,16.38811658492393,9.173414004804698
1061,26647,47608.0,20.56516681052276,6.832836108170532
1063,7706,32796.0,32.4941603944978,13.161559888579388
1065,14742,35851.0,24.508207841541175,11.475106422357948
1067,17282,58395.0,15.090845966901977,7.6129225246784324
1069,107040,55064.0,17.6363976083707,6.200803986231134
1071,52618,46748.0,18.396746360561025,4.615384615384616
1073,672265,63595.0,15.454322328248532,6.86283362303137
1075,13885,49565.0,15.174648901692475,5.746904024767802
1077,94329,56081.0,12.920734874746898,6.072652143212072
1079,33116,54786.0,15.648025123807225,5.097825239691324
1081,175126,59288.0,17.703253657366698,4.773961881962987
1083,104199,80146.0,10.832157698250464,3.0747692626775898
1085,10153,33125.0,25.13542795232936,11.097225693576606
1087,19198,41206.0,21.49703094072299,10.783901276118355
1089,389781,78058.0,10.375056762643638,4.106060701013354
1091,19180,42975.0,21.18352450469239,8.591950128743733
1093,29203,49743.0,16.118207033523955,4.973679433654021
1095,97923,58272.0,16.33119900329851,4.801001948232675
1097,413878,55352.0,17.24010457187867,6.749788540459259
1099,19816,39965.0,22.567622123536534,6.303096738832557
1101,228132,56707.0,18.794820542492943,6.871301033202928
1103,123102,61588.0,13.467693457458044,5.112073993833848
1105,8479,32332.0,29.22514447458427,10.3739837398374
1107,18925,45339.0,20.417437252311757,7.793307920372723
1109,32997,42616.0,21.947449768160745,6.6855618539513175
1111,22179,49879.0,19.284007394382073,5.281246419979379
1113,58849,47420.0,21.77777022549236,8.844088313016792
1115,91719,73218.0,10.669545023386648,3.262604172823453
1117,223916,90618.0,6.734668357777024,2.6475362872421697
1119,12196,31726.0,26.935060675631355,7.732388495206336
1121,81105,52457.0,17.799149250970963,7.676380605086684
1123,41251,53282.0,16.54747763690577,6.8621486798880635
1125,231558,61645.0,15.72478601473497,5.688965460274005
1127,64978,52987.0,16.062359567853733,4.717210130269439
1129,15434,51184.0,15.647272256058054,4.140937159462404
1131,10441,38208.0,26.194808926348053,13.607152835987707
1133,23655,49494.0,17.82709786514479,5.305943095682742
2013,3407,79961.0,12.591722923393014,25.027808676307007
2016,5219,100662.0,9.15884269017053,9.907120743034056
2020,290674,95731.0,9.43152810364876,5.6798028637034
2050,18538,64094.0,24.738375229258818,61.86199342825849
2060,854,94167.0,7.728337236533958,10.211267605633804
2063,7000,83068.0,4.842857142857143,5.73502722323049
2066,2614,70606.0,11.05585309869931,6.972477064220184
2068,2101,87292.0,7.1394574012375065,3.2380952380952377
2070,4854,69412.0,15.760197775030901,36.19942196531792
2090,96299,81655.0,6.600276223013739,4.7928762840553825
2100,2079,68276.0,5.82010582010582,9.033078880407125
2105,2329,62344.0,11.550021468441392,33.102652825836216
2110,32108,95711.0,6.777127195714463,9.579780287316586
2122,59235,76272.0,12.264708364986916,4.827378130253006
2130,13910,82763.0,9.554277498202731,11.781609195402298
2150,13065,91138.0,7.860696517412935,8.924122310305775
2158,8372,42663.0,33.874820831342575,85.94420600858369
2164,999,61607.0,15.115115115115115,42.02453987730061
2170,108661,86435.0,9.948371540847221,3.6523288368541613
2180,10018,70121.0,20.37332800958275,57.17875089734387
2185,10924,83472.0,7.845111680703039,36.53136531365313
2188,7682,77647.0,18.28950794064046,65.259009009009
2195,3374,77826.0,4.534676941315945,12.599681020733652
2198,5799,61779.0,15.157785825142266,8.31191088260497
2220,8462,95261.0,6.74781375561333,10.465452442902572
2230,1303,79583.0,6.216423637759018,6.341463414634147
2240,6888,75378.0,13.037166085946575,5.6646870717222475
2275,2134,61000.0,9.981255857544518,6.25
2282,564,76875.0,9.929078014184398,12.554112554112553
2290,5355,47826.0,22.707749766573297,46.92011549566891
4001,66054,37483.0,31.87997698852454,12.680683311432325
4003,125504,58421.0,13.986008414074453,5.950080515297906
4005,144705,67266.0,15.570298192875159,5.418037043448157
4007,53419,55242.0,18.551451730657632,6.859205776173286
4009,38453,64089.0,16.201596754479493,4.942586120818772
4011,9483,73756.0,12.738584836022357,2.663438256658596
4012,16681,46634.0,20.592290630058148,4.758164066883627
4013,4430871,80675.0,11.364921253631623,5.233915319772329
4015,214229,53592.0,15.68275070135229,4.418455589530204
4017,107110,50335.0,24.825879936513864,8.452016504725144
4019,1042393,64323.0,14.55621824014551,7.160668912131419
4021,433338,73313.0,10.713115397218798,3.5342266816291503
4023,47838,51885.0,20.113717128642502,6.0056453065881925
4025,237830,62430.0,12.094773577765631,3.9073792494978505
4027,204374,56439.0,16.956168592873848,5.3335654409598545
5001,17024,58695.0,16.541353383458645,9.666107638359506
5003,19018,44804.0,23.08339467872542,8.85460105643592
5005,41801,47403.0,13.365708954331238,4.389884864097576
5007,286528,85269.0,7.778995421040875,2.813832034100073
5009,37662,52275.0,12.928150390313844,5.549696809912998
5011,10461,43688.0,15.008125418220056,8.64231948703652
5013,4773,60237.0,12.025979467839933,3.2710280373831773
5015,28362,56826.0,15.263380579648825,4.957295060315224
5017,10234,36593.0,25.581395348837212,11.427145708582835
5019,21469,48071.0,17.755833993199495,6.297925832809553
5021,14537,44685.0,19.185526587328887,5.855187201055583
5023,24948,52780.0,13.90492223825557,3.067946546207416
5025,7548,48913.0,13.420773714891363,6.965718453683442
5027,22707,47441.0,20.588364821420708,4.165601840020445
5029,20782,50282.0,20.753536714464442,7.468534789836144
5031,111038,55169.0,18.472054611934652,6.809756558286699
5033,60593,56702.0,17.526777020447906,4.821609256082002
5035,47945,51860.0,19.40765460423402,9.619626620756442
5037,16827,48129.0,19.950080228204673,9.323583180987203
5039,6472,40085.0,11.171199011124845,7.688947138488422
5041,11285,38067.0,26.973859105006646,14.59917445144471
5043,17309,44968.0,20.295799872898492,7.5654563865181546
5045,124611,61273.0,14.82854643651042,4.816862182462655
5047,17160,47695.0,19.883449883449885,5.6375838926174495
5049,12183,38917.0,15.11122055322991,5.376569037656904
5051,100021,54229.0,16.600513892082663,6.212401665895419
5053,18022,68598.0,13.389190988791476,2.4066511085180866
5055,45954,54879.0,17.173695434565,4.94898821937884
5057,20037,45049.0,22.638119478963915,7.804214819850442
5059,33129,50260.0,18.39174137462646,5.873949579831933
5061,12779,44824.0,18.006103763987795,4.421898928024502
5063,37910,52361.0,18.791875494592457,6.076160088784074
5065,13748,46159.0,18.20628455048007,7.154639175257732
5067,16784,41929.0,17.61796949475691,7.962720732504905
5069,66934,46855.0,17.656198643439808,7.702446659527144
5071,25925,42470.0,20.547733847637414,5.222749772704314
5073,6277,40262.0,21.156603472996654,7.381232822928936
5075,16258,43606.0,17.16693320211588,5.504010064475547
5077,8666,33801.0,22.663281790906993,21.732405259087393
5079,13016,50526.0,11.378303626306085,4.8253404381290705
5081,12024,58627.0,11.593479707252161,4.92184199408534
5083,21247,51131.0,14.289076104861865,5.175490779298038
5085,74292,68078.0,11.683626770042535,4.8727430933217315
5087,16737,51514.0,16.317141662185577,3.216
5089,16905,42891.0,17.56876663708962,4.215686274509804
5091,42682,47613.0,19.90534651609578,8.939040534577318
5093,40361,50012.0,21.305220386016206,10.356547817394201
5095,6787,41786.0,23.456608221600117,15.605095541401273
5097,8555,47103.0,17.849210987726476,4.59738088604068
5099,8292,43421.0,27.110467920887604,4.597336715282181
5101,7243,50699.0,11.238437111694049,2.1686746987951806
5103,22606,47348.0,18.71184641245687,12.400993025180282
5105,10055,53980.0,15.176529090004973,6.059023243666753
5107,16373,37458.0,30.208269712331276,13.94822006472492
5109,10205,49248.0,17.099461048505635,4.866483653606189
5111,22997,43440.0,20.507022655128928,8.709535344637745
5113,19384,48449.0,17.504127115146513,5.325903848645846
5115,63475,51678.0,16.9011421819614,4.534706975173113
5117,8217,47045.0,9.69940367530729,4.616777308388654
5119,398322,58326.0,16.260211587610023,7.421558342472939
5121,18619,45993.0,18.900048337719532,5.9944367176634215
5123,23138,39822.0,24.457602212810094,12.873364601333003
5125,123988,73236.0,9.426718714714328,3.6624368100691225
5127,9871,45340.0,16.989160166143247,9.305306331709819
5129,7880,42063.0,26.065989847715738,7.734056987788331
5131,128184,54047.0,16.24071647007427,6.280128032085148
5133,15913,53567.0,19.757431031232326,4.672559985567382
5135,17422,43332.0,15.641143381930892,4.752934357339516
5137,12393,37664.0,21.003792463487454,7.630522088353414
5139,38815,49745.0,18.382068787839753,5.2008032128514055
5141,15900,45768.0,18.68553459119497,6.351529342894775
5143,247331,61985.0,14.659707032276584,4.604344163529926
5145,77118,51144.0,15.388106538032625,6.301236626372099
5147,6259,49608.0,18.309634126857325,10.92916984006093
