GEOID,county_idx,NAME
12115,0,Sarasota
12081,1,Manatee
12027,2,DeSoto
12015,3,Charlotte
12049,4,Hardee
12057,5,Hillsborough
12071,6,Lee
12103,7,Pinellas
12105,8,Polk
12055,9,Highlands
12043,10,Glades
12051,11,Hendry
12021,12,Collier
12101,13,Pasco
12093,14,Okeechobee
12097,15,Osceola
12119,16,Sumter
12069,17,Lake
12053,18,Hernando
12085,19,Martin
12099,20,Palm Beach
12095,21,Orange
12061,22,Indian River
12087,23,Monroe
12009,24,Brevard
12111,25,St. Lucie
12011,26,Broward
12017,27,Citrus
12117,28,Seminole
12086,29,Miami-Dade
12083,30,Marion
12075,31,Levy
12127,32,Volusia
12029,33,Dixie
12107,34,Putnam
12035,35,Flagler
12001,36,Alachua
12041,37,Gilchrist
12123,38,Taylor
12109,39,St. Johns
12007,40,Bradford
12019,41,Clay
12067,42,Lafayette
12023,43,Columbia
12121,44,Suwannee
12125,45,Union
12129,46,Wakulla
12065,47,Jefferson
12037,48,Franklin
12003,49,Baker
12031,50,Duval
12079,51,Madison
12089,52,Nassau
12047,53,Hamilton
12045,54,Gulf
13049,55,Charlton
12077,56,Liberty
12005,57,Bay
12073,58,Leon
13299,59,Ware
13065,60,Clinch
13101,61,Echols
13185,62,Lowndes
13027,63,Brooks
13275,64,Thomas
12039,65,Gadsden
13039,66,Camden
12013,67,Calhoun
13173,68,Lanier
13131,69,Grady
13087,70,Decatur
13025,71,Brantley
13019,72,Berrien
13075,73,Cook
13127,74,Glynn
13071,75,Colquitt
12063,76,Jackson
13253,77,Seminole
13003,78,Atkinson
13229,79,Pierce
13205,80,Mitchell
12133,81,Washington
12131,82,Walton
13007,83,Baker
13305,84,Wayne
13277,85,Tift
13191,86,McIntosh
13069,87,Coffee
13201,88,Miller
13321,89,Worth
13005,90,Bacon
01069,91,Houston
13001,92,Appling
13155,93,Irwin
13099,94,Early
12059,95,Holmes
13095,96,Dougherty
13183,97,Long
12091,98,Okaloosa
13287,99,Turner
13179,100,Liberty
13017,101,Ben Hill
13037,102,Calhoun
13161,103,Jeff Davis
01061,104,Geneva
13177,105,Lee
01067,106,Henry
13271,107,Telfair
13267,108,Tattnall
13273,109,Terrell
13029,110,Bryan
13051,111,Chatham
13061,112,Clay
13081,113,Crisp
13315,114,Wilcox
13243,115,Randolph
